         1485917 function calls (1462274 primitive calls) in 83.220 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        5    0.004    0.001    0.039    0.008 core.py:173(add_enabled_units)
        1    0.000    0.000    0.039    0.039 _subplots.py:1(<module>)
3193/1811    0.005    0.000    0.038    0.000 core.py:1766(__call__)
      675    0.030    0.000    0.038    0.000 <frozen importlib._bootstrap_external>:914(get_data)
    41318    0.038    0.000    0.038    0.000 {built-in method numpy.array}
        1    0.000    0.000    0.038    0.038 backend_qt5agg.py:3(<module>)
        6    0.000    0.000    0.038    0.006 __init__.py:2(<module>)
     3584    0.037    0.000    0.037    0.000 {built-in method posix.stat}
        1    0.000    0.000    0.037    0.037 __init__.py:382(<module>)
      590    0.005    0.000    0.037    0.000 posixpath.py:400(_joinrealpath)
        2    0.000    0.000    0.036    0.018 __init__.py:57(<module>)
        1    0.000    0.000    0.036    0.036 astrophys.py:7(<module>)
        1    0.000    0.000    0.036    0.036 contour.py:3(<module>)
       64    0.004    0.000    0.035    0.001 core.py:2190(_add_prefixes)
        1    0.001    0.001    0.035    0.035 backend_qt5.py:1(<module>)
        2    0.000    0.000    0.034    0.017 __init__.py:4(<module>)
       11    0.000    0.000    0.033    0.003 artist.py:1511(kwdoc)
   115/99    0.000    0.000    0.033    0.000 <frozen importlib._bootstrap_external>:1048(exec_module)
   115/99    0.008    0.000    0.033    0.000 {built-in method _imp.exec_dynamic}
        1    0.000    0.000    0.033    0.033 figureoptions.py:6(<module>)
      281    0.000    0.000    0.032    0.000 sre_compile.py:598(_code)
        1    0.000    0.000    0.032    0.032 formlayout.py:33(<module>)
        1    0.000    0.000    0.032    0.032 qt_compat.py:13(<module>)
     2961    0.001    0.000    0.031    0.000 <frozen importlib._bootstrap_external>:74(_path_stat)
        1    0.000    0.000    0.031    0.031 qt_compat.py:72(_setup_pyqt5)
        1    0.000    0.000    0.030    0.030 __init__.py:172(<module>)
       11    0.000    0.000    0.030    0.003 artist.py:1268(pprint_setters)
        1    0.000    0.000    0.030    0.030 _axes.py:1(<module>)
        1    0.000    0.000    0.030    0.030 __init__.py:13(<module>)
        1    0.000    0.000    0.029    0.029 request.py:68(<module>)
        1    0.000    0.000    0.028    0.028 interpolate.py:2(<module>)
        1    0.000    0.000    0.027    0.027 __init__.py:635(<module>)
       27    0.000    0.000    0.026    0.001 __init__.py:1056(rc_params_from_file)
    20272    0.026    0.000    0.026    0.000 {built-in method numpy.arange}
        1    0.000    0.000    0.026    0.026 si.py:7(<module>)
     2304    0.003    0.000    0.025    0.000 core.py:533(_get_physical_type_id)
        1    0.000    0.000    0.024    0.024 core.py:12(<module>)
        1    0.000    0.000    0.024    0.024 core.py:151(load_base_library)
        1    0.000    0.000    0.024    0.024 core.py:182(read_style_directory)
     1360    0.001    0.000    0.024    0.000 core.py:1937(__init__)
    20262    0.024    0.000    0.024    0.000 {built-in method numpy.result_type}
       27    0.002    0.000    0.024    0.001 __init__.py:978(_rc_params_in_file)
        1    0.000    0.000    0.024    0.024 rcsetup.py:15(<module>)
 1976/281    0.007    0.000    0.024    0.000 sre_compile.py:71(_compile)
 1321/984    0.003    0.000    0.024    0.000 inspect.py:2198(_signature_from_callable)
        1    0.000    0.000    0.024    0.024 __init__.py:94(<module>)
2698/2667    0.004    0.000    0.023    0.000 core.py:2010(__init__)
        1    0.000    0.000    0.023    0.023 text.py:3(<module>)
      112    0.001    0.000    0.023    0.000 _distn_infrastructure.py:624(_construct_argparser)
     1384    0.016    0.000    0.023    0.000 core.py:1497(__init__)
     1800    0.002    0.000    0.021    0.000 __init__.py:829(__setitem__)
        1    0.000    0.000    0.021    0.021 collections.py:10(<module>)
        1    0.000    0.000    0.021    0.021 __init__.py:197(_sanity_check)
        5    0.000    0.000    0.021    0.004 __init__.py:5(<module>)
     4836    0.003    0.000    0.021    0.000 posixpath.py:168(islink)
        1    0.021    0.021    0.021    0.021 {method 'dot' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.021    0.021 _minimize.py:8(<module>)
3852/2784    0.004    0.000    0.020    0.000 core.py:2132(decompose)
    20548    0.020    0.000    0.020    0.000 {method 'astype' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.020    0.020 fontconfig_pattern.py:7(<module>)
        1    0.000    0.000    0.020    0.020 cgs.py:7(<module>)
3428/2403    0.001    0.000    0.019    0.000 core.py:1951(decompose)
        1    0.000    0.000    0.019    0.019 ui.py:9(<module>)
      630    0.001    0.000    0.018    0.000 inspect.py:702(getabsfile)
       58    0.000    0.000    0.018    0.000 decorators.py:738(__get__)
     4836    0.018    0.000    0.018    0.000 {built-in method posix.lstat}
        2    0.000    0.000    0.018    0.009 groups.py:3(<module>)
1328/1297    0.007    0.000    0.017    0.000 core.py:2085(_expand_and_gather)
        1    0.000    0.000    0.017    0.017 pyparsing.py:94(<module>)
      984    0.006    0.000    0.016    0.000 inspect.py:2117(_signature_from_function)
        1    0.000    0.000    0.016    0.016 client.py:69(<module>)
      410    0.001    0.000    0.016    0.000 artist.py:1142(get_valid_values)
      343    0.002    0.000    0.016    0.000 _util.py:270(getargspec_no_self)
   118103    0.015    0.000    0.016    0.000 {built-in method builtins.isinstance}
       12    0.002    0.000    0.015    0.001 artist.py:1179(_get_setters_and_targets)
        1    0.000    0.000    0.015    0.015 minimize_trustregion_constr.py:1(<module>)
     1047    0.001    0.000    0.015    0.000 <frozen importlib._bootstrap_external>:93(_path_isfile)
     1132    0.001    0.000    0.015    0.000 <frozen importlib._bootstrap_external>:84(_path_is_mode_type)
        1    0.000    0.000    0.015    0.015 basic.py:5(<module>)
        1    0.000    0.000    0.015    0.015 configuration.py:10(<module>)
      393    0.000    0.000    0.014    0.000 inspect.py:3081(signature)
        1    0.000    0.000    0.014    0.014 kdtree.py:3(<module>)
      393    0.000    0.000    0.014    0.000 inspect.py:2829(from_callable)
        1    0.000    0.000    0.014    0.014 __init__.py:220(<module>)
        1    0.000    0.000    0.014    0.014 logarithmic.py:3(<module>)
     1045    0.001    0.000    0.014    0.000 colors.py:150(to_rgba)
      591    0.003    0.000    0.014    0.000 inspect.py:1089(getfullargspec)
        1    0.000    0.000    0.014    0.014 loader.py:2(<module>)
      795    0.003    0.000    0.014    0.000 <frozen importlib._bootstrap>:504(_init_module_attrs)
       19    0.000    0.000    0.014    0.001 rcsetup.py:825(validate_cycler)
        1    0.000    0.000    0.013    0.013 orthogonal.py:72(<module>)
      492    0.001    0.000    0.013    0.000 rcsetup.py:358(validate_color)
        4    0.000    0.000    0.013    0.003 __init__.py:15(<module>)
        1    0.000    0.000    0.013    0.013 __init__.py:184(<module>)
        1    0.000    0.000    0.013    0.013 index.py:31(<module>)
      177    0.000    0.000    0.013    0.000 rcsetup.py:69(f)
        1    0.000    0.000    0.013    0.013 _constrained_layout.py:16(<module>)
      491    0.000    0.000    0.012    0.000 colors.py:121(is_color_like)
      550    0.000    0.000    0.012    0.000 re.py:180(search)
        7    0.000    0.000    0.012    0.002 npyio.py:1186(savetxt)
        2    0.000    0.000    0.012    0.006 core.py:1316(si)
        2    0.000    0.000    0.012    0.006 core.py:1271(to_system)
        1    0.000    0.000    0.012    0.012 legend.py:22(<module>)
      295    0.007    0.000    0.012    0.000 doccer.py:179(indentcount_lines)
      373    0.010    0.000    0.012    0.000 colors.py:184(_to_rgba_no_colorcycle)
        2    0.000    0.000    0.012    0.006 __init__.py:45(<module>)
        2    0.000    0.000    0.012    0.006 core.py:1141(compose)
      254    0.000    0.000    0.012    0.000 rcsetup.py:342(validate_color_for_prop_cycle)
      745    0.010    0.000    0.012    0.000 sre_compile.py:276(_optimize_charset)
      117    0.000    0.000    0.012    0.000 rcsetup.py:90(<listcomp>)
       39    0.001    0.000    0.012    0.000 {built-in method builtins.eval}
      630    0.002    0.000    0.011    0.000 inspect.py:680(getsourcefile)
        2    0.000    0.000    0.011    0.006 __init__.py:22(Conf)
        1    0.000    0.000    0.011    0.011 __init__.py:110(<module>)
       16    0.000    0.000    0.011    0.001 rcsetup.py:740(cycler)
        1    0.000    0.000    0.011    0.011 formats.py:4(<module>)
    20269    0.011    0.000    0.011    0.000 {method 'reshape' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.011    0.011 convenience.py:55(<module>)
     1261    0.001    0.000    0.011    0.000 posixpath.py:376(abspath)
        1    0.000    0.000    0.011    0.011 offsetbox.py:15(<module>)
     6070    0.004    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:56(_path_join)
        1    0.000    0.000    0.010    0.010 diff.py:7(<module>)
     4995    0.006    0.000    0.010    0.000 posixpath.py:75(join)
   107063    0.010    0.000    0.010    0.000 {method 'append' of 'list' objects}
    20268    0.007    0.000    0.010    0.000 numeric.py:2035(isscalar)
        1    0.000    0.000    0.010    0.010 image.py:4(<module>)
        1    0.000    0.000    0.010    0.010 multiarray.py:7(<module>)
        1    0.000    0.000    0.010    0.010 table.py:6(<module>)
        1    0.000    0.000    0.010    0.010 _discrete_distns.py:5(<module>)
    40400    0.009    0.000    0.010    0.000 {built-in method builtins.getattr}
        2    0.000    0.000    0.010    0.005 __init__.py:86(<module>)
    11519    0.003    0.000    0.010    0.000 {method 'add' of 'set' objects}
        1    0.000    0.000    0.009    0.009 overrides.py:1(<module>)
       14    0.000    0.000    0.009    0.001 _distn_infrastructure.py:2705(__init__)
      675    0.001    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:951(path_stats)
        5    0.001    0.000    0.009    0.002 core.py:35(_flatten_units_collection)
       14    0.009    0.001    0.009    0.001 {method 'close' of '_io.TextIOWrapper' objects}
        1    0.000    0.000    0.009    0.009 parser.py:5(<module>)
    20262    0.007    0.000    0.009    0.000 function_base.py:20(_index_deprecate)
        1    0.000    0.000    0.009    0.009 cm.py:19(<module>)
     1350    0.004    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:271(cache_from_source)
        1    0.000    0.000    0.009    0.009 textpath.py:1(<module>)
      675    0.009    0.000    0.009    0.000 {method 'read' of '_io.FileIO' objects}
        1    0.000    0.000    0.009    0.009 _root.py:7(<module>)
    21863    0.008    0.000    0.008    0.000 {built-in method builtins.hasattr}
        6    0.000    0.000    0.008    0.001 utils.py:81(generate_unit_summary)
        1    0.000    0.000    0.008    0.008 feedparser.py:20(<module>)
      281    0.001    0.000    0.008    0.000 sre_compile.py:536(_compile_info)
       23    0.000    0.000    0.008    0.000 {method 'all' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.008    0.008 quantity.py:7(<module>)
       23    0.000    0.000    0.008    0.000 _methods.py:45(_all)
        1    0.000    0.000    0.008    0.008 card.py:3(<module>)
     2982    0.002    0.000    0.008    0.000 {built-in method builtins.any}
        1    0.000    0.000    0.008    0.008 backend_bases.py:33(<module>)
        1    0.000    0.000    0.008    0.008 npyio.py:1(<module>)
    13895    0.004    0.000    0.008    0.000 sre_parse.py:254(get)
        1    0.000    0.000    0.008    0.008 core.py:6(<module>)
        1    0.000    0.000    0.008    0.008 pyparsing.py:5932(pyparsing_common)
        1    0.000    0.000    0.008    0.008 jsviewer.py:3(<module>)
        1    0.000    0.000    0.007    0.007 jsviewer.py:12(Conf)
     1465    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap>:403(cached)
        1    0.000    0.000    0.007    0.007 artist.py:1(<module>)
     1275    0.005    0.000    0.007    0.000 posixpath.py:338(normpath)
10895/10892    0.002    0.000    0.007    0.000 core.py:1957(__hash__)
      834    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap>:147(__enter__)
      586    0.000    0.000    0.007    0.000 genericpath.py:16(exists)
        1    0.000    0.000    0.007    0.007 card.py:41(Card)
        1    0.000    0.000    0.007    0.007 _policybase.py:4(<module>)
       84    0.000    0.000    0.007    0.000 {built-in method builtins.next}
      146    0.002    0.000    0.007    0.000 utils.py:39(_iter_unit_summary)
        1    0.000    0.000    0.007    0.007 validate.py:127(<module>)
       90    0.003    0.000    0.007    0.000 __init__.py:316(namedtuple)
        3    0.000    0.000    0.007    0.002 __init__.py:10(<module>)
        1    0.000    0.000    0.007    0.007 reader.py:18(<module>)
        1    0.000    0.000    0.007    0.007 reader.py:45(Reader)
      150    0.000    0.000    0.007    0.000 cm.py:81(_generate_cmap)
        1    0.000    0.000    0.007    0.007 _datasource.py:35(<module>)
        1    0.000    0.000    0.007    0.007 dates.py:135(<module>)
        1    0.000    0.000    0.007    0.007 utils.py:4(<module>)
        1    0.000    0.000    0.006    0.006 mathtext.py:16(<module>)
     7458    0.006    0.000    0.006    0.000 {method 'splitlines' of 'str' objects}
      790    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:369(_get_cached)
     3533    0.002    0.000    0.006    0.000 enum.py:284(__call__)
        2    0.001    0.000    0.006    0.003 core.py:1218(filter_units)
       64    0.001    0.000    0.006    0.000 colors.py:713(from_list)
        1    0.000    0.000    0.006    0.006 font_manager.py:21(<module>)
    13080    0.004    0.000    0.006    0.000 sre_parse.py:164(__getitem__)
       85    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:1404(_fill_cache)
     1273    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:1203(_path_importer_cache)
        1    0.000    0.000    0.006    0.006 numeric.py:1(<module>)
71537/69316    0.006    0.000    0.006    0.000 {built-in method builtins.len}
        1    0.000    0.000    0.006    0.006 shutil.py:5(<module>)
  267/265    0.000    0.000    0.006    0.000 quantity.py:730(unit)
      112    0.000    0.000    0.006    0.000 _distn_infrastructure.py:589(__init__)
17622/17618    0.005    0.000    0.006    0.000 {method 'join' of 'str' objects}
        1    0.000    0.000    0.006    0.006 configobj.py:16(<module>)
      5/3    0.000    0.000    0.006    0.002 constant.py:35(wrapper)
       19    0.000    0.000    0.006    0.000 constant.py:161(_unit)
        1    0.000    0.000    0.006    0.006 index_tricks.py:1(<module>)
     2931    0.003    0.000    0.006    0.000 inspect.py:2467(__init__)
        1    0.000    0.000    0.006    0.006 patches.py:1(<module>)
        1    0.000    0.000    0.006    0.006 tempfile.py:24(<module>)
       19    0.000    0.000    0.006    0.000 generic.py:464(parse)
        1    0.000    0.000    0.006    0.006 lines.py:4(<module>)
     1357    0.004    0.000    0.006    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
       19    0.000    0.000    0.006    0.000 generic.py:477(_do_parse)
    17416    0.006    0.000    0.006    0.000 sre_parse.py:233(__next)
     7630    0.004    0.000    0.006    0.000 core.py:734(__hash__)
       14    0.000    0.000    0.006    0.000 _distn_infrastructure.py:2754(_construct_docstrings)
        1    0.000    0.000    0.005    0.005 minpack.py:1(<module>)
        1    0.000    0.000    0.005    0.005 physical.py:10(<module>)
       27    0.000    0.000    0.005    0.000 pyparsing.py:2998(__init__)
    20397    0.005    0.000    0.005    0.000 fromnumeric.py:70(<dictcomp>)
4544/3731    0.003    0.000    0.005    0.000 {method 'format' of 'str' objects}
        1    0.000    0.000    0.005    0.005 random.py:38(<module>)
        1    0.000    0.000    0.005    0.005 _axes.py:119(Axes)
    33202    0.005    0.000    0.005    0.000 {method 'startswith' of 'str' objects}
        1    0.000    0.000    0.005    0.005 validate.py:472(Validator)
       28    0.000    0.000    0.005    0.000 contextlib.py:116(__exit__)
     6070    0.003    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:58(<listcomp>)
       86    0.005    0.000    0.005    0.000 {built-in method posix.listdir}
     1359    0.003    0.000    0.005    0.000 inspect.py:2750(__init__)
       10    0.000    0.000    0.005    0.000 decorators.py:655(__get__)
2861/1522    0.001    0.000    0.005    0.000 {built-in method builtins.hash}
 2430/758    0.004    0.000    0.005    0.000 sre_parse.py:174(getwidth)
        2    0.000    0.000    0.005    0.002 registry.py:42(delay_doc_updates)
        2    0.000    0.000    0.005    0.002 registry.py:146(_update__doc__)
        1    0.000    0.000    0.005    0.005 configobj.py:1069(ConfigObj)
        2    0.000    0.000    0.005    0.002 core.py:1018(_compose)
        1    0.000    0.000    0.005    0.005 _base.py:1(<module>)
      212    0.000    0.000    0.005    0.000 core.py:1201(has_bases_in_common_with_equiv)
      335    0.001    0.000    0.005    0.000 textwrap.py:414(dedent)
      212    0.000    0.000    0.004    0.000 core.py:1192(has_bases_in_common)
     2033    0.001    0.000    0.004    0.000 re.py:170(match)
       13    0.000    0.000    0.004    0.000 enum.py:633(_convert)
        1    0.000    0.000    0.004    0.004 tree.py:5(<module>)
       39    0.001    0.000    0.004    0.000 __init__.py:1638(param)
      687    0.004    0.000    0.004    0.000 {method 'sub' of 're.Pattern' objects}
        1    0.000    0.000    0.004    0.004 mathtext.py:2202(Parser)
        1    0.000    0.000    0.004    0.004 Image.py:30(<module>)
       28    0.000    0.000    0.004    0.000 formats.py:82(__new__)
      481    0.000    0.000    0.004    0.000 core.py:742(__eq__)
        1    0.000    0.000    0.004    0.004 mathtext.py:2738(<lambda>)
        1    0.000    0.000    0.004    0.004 mathtext.py:2738(<listcomp>)
       30    0.000    0.000    0.004    0.000 __init__.py:826(__init__)
      792    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1351(_get_spec)
       31    0.000    0.000    0.004    0.000 _collections_abc.py:824(update)
        2    0.000    0.000    0.004    0.002 utils.py:5(<module>)
        1    0.000    0.000    0.004    0.004 core.py:9(<module>)
        1    0.000    0.000    0.004    0.004 platform.py:10(<module>)
        1    0.000    0.000    0.004    0.004 exceptions.py:32(<module>)
        1    0.000    0.000    0.004    0.004 quantity.py:43(Conf)
        1    0.000    0.000    0.004    0.004 py3k.py:4(<module>)
      795    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap>:318(__exit__)
     7690    0.004    0.000    0.004    0.000 {method 'expandtabs' of 'str' objects}
        1    0.000    0.000    0.004    0.004 __init__.py:41(<module>)
        4    0.000    0.000    0.004    0.001 formats.py:44(_regexify_subfmts)
        1    0.000    0.000    0.004    0.004 bz2.py:5(<module>)
        1    0.000    0.000    0.004    0.004 imperial.py:19(<module>)
        1    0.000    0.000    0.004    0.004 console.py:5(<module>)
        1    0.000    0.000    0.004    0.004 mlab.py:155(<module>)
     1429    0.001    0.000    0.004    0.000 {method 'sort' of 'list' objects}
      341    0.001    0.000    0.004    0.000 core.py:922(_to)
        1    0.000    0.000    0.004    0.004 case.py:1(<module>)
       18    0.001    0.000    0.004    0.000 enum.py:135(__new__)
       11    0.000    0.000    0.004    0.000 pyparsing.py:1766(parseString)
        1    0.000    0.000    0.004    0.004 compressed.py:3(<module>)
        1    0.000    0.000    0.004    0.004 resolver.py:2(<module>)
      130    0.001    0.000    0.004    0.000 deprecation.py:178(deprecate)
       49    0.003    0.000    0.004    0.000 {built-in method io.open}
        1    0.000    0.000    0.004    0.004 ssl.py:91(<module>)
       10    0.000    0.000    0.004    0.000 pyparsing.py:4685(__init__)
       14    0.000    0.000    0.004    0.000 enum.py:389(_create_)
       12    0.000    0.000    0.003    0.000 artist.py:1094(__init__)
      957    0.003    0.000    0.003    0.000 {method 'search' of 're.Pattern' objects}
    33/10    0.000    0.000    0.003    0.000 pyparsing.py:4071(leaveWhitespace)
       12    0.001    0.000    0.003    0.000 artist.py:1114(get_aliases)
        1    0.000    0.000    0.003    0.003 __init__.py:936(rc_params)
      129    0.003    0.000    0.003    0.000 {built-in method posix.getcwd}
        1    0.000    0.000    0.003    0.003 pathlib.py:1(<module>)
        1    0.000    0.000    0.003    0.003 hashlib.py:54(<module>)
        2    0.000    0.000    0.003    0.002 _distributor_init.py:10(<module>)
  108/107    0.000    0.000    0.003    0.000 core.py:685(__mul__)
        1    0.000    0.000    0.003    0.003 main.py:1(<module>)
   260/11    0.001    0.000    0.003    0.000 pyparsing.py:1516(_parseNoCache)
        3    0.000    0.000    0.003    0.001 _version.py:7(<module>)
        8    0.000    0.000    0.003    0.000 warnings.py:130(filterwarnings)
    63/11    0.000    0.000    0.003    0.000 pyparsing.py:3702(parseImpl)
    10713    0.002    0.000    0.003    0.000 mathtext.py:2739(<genexpr>)
        1    0.000    0.000    0.003    0.003 rrule.py:7(<module>)
    17153    0.003    0.000    0.003    0.000 {built-in method builtins.min}
        1    0.000    0.000    0.003    0.003 defmatrix.py:1(<module>)
    24508    0.003    0.000    0.003    0.000 {method 'items' of 'dict' objects}
      111    0.000    0.000    0.003    0.000 textwrap.py:381(fill)
        1    0.000    0.000    0.003    0.003 _spherical_voronoi.py:6(<module>)
        1    0.000    0.000    0.003    0.003 __init__.py:151(<module>)
      475    0.000    0.000    0.003    0.000 sre_parse.py:96(closegroup)
     2275    0.001    0.000    0.003    0.000 posixpath.py:64(isabs)
        1    0.000    0.000    0.003    0.003 __init__.py:95(_check_numpy)
        1    0.000    0.000    0.003    0.003 axis.py:3(<module>)
      212    0.000    0.000    0.003    0.000 __init__.py:540(dedent)
    58/10    0.000    0.000    0.003    0.000 pyparsing.py:3586(leaveWhitespace)
        1    0.000    0.000    0.003    0.003 fastbasic.py:3(<module>)
       30    0.000    0.000    0.003    0.000 rcsetup.py:446(validate_font_properties)
      523    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:194(_lock_unlock_module)
     3068    0.002    0.000    0.003    0.000 core.py:2086(add_unit)
        1    0.000    0.000    0.003    0.003 csr.py:1(<module>)
        9    0.000    0.000    0.003    0.000 fontconfig_pattern.py:113(parse)
   121/59    0.000    0.000    0.003    0.000 pyparsing.py:3661(copy)
  126/118    0.000    0.000    0.003    0.000 core.py:647(__div__)
      429    0.000    0.000    0.003    0.000 pyparsing.py:1300(copy)
      252    0.000    0.000    0.003    0.000 core.py:595(to_string)
